sched_debug.cfs_rq:/.nr_running.2,0
sched_debug.cfs_rq:/.load.2,342465
sched_debug.cfs_rq:/.runnable_weight.2,273818
sched_debug.cfs_rq:/.load_avg.2,456
sched_debug.cfs_rq:/.runnable_load_avg.2,62
sched_debug.cfs_rq:/.util_avg.2,412
sched_debug.cfs_rq:/.util_est_enqueued.2,31
sched_debug.rt_rq:.rt_runtime.2,950.0
sched_debug.dl_rq:.dl_bw->bw.2,996147
sched_debug.cpu.nr_running.3,0
sched_debug.cpu.load.3,299788
sched_debug.cpu.nr_switches.3,1654422
sched_debug.cpu.nr_load_updates.3,299509
sched_debug.cpu.nr_uninterruptible.3,4
sched_debug.cpu.next_balance.3,4296.14850975
sched_debug.cpu.curr->pid.3,11726
sched_debug.cpu.clock.3,5025068.0425945
sched_debug.cpu.clock_task.3,5025068.0425945
sched_debug.cpu.cpu_load[0].3,237
sched_debug.cpu.cpu_load[1].3,228
sched_debug.cpu.cpu_load[2].3,174
sched_debug.cpu.cpu_load[3].3,186
sched_debug.cpu.cpu_load[4].3,243
sched_debug.cpu.avg_idle.3,845809
sched_debug.cpu.max_idle_balance_cost.3,500000
sched_debug.cfs_rq:/.MIN_vruntime.3,1.0e-06
sched_debug.cfs_rq:/.min_vruntime.3,191662.7189795
sched_debug.cfs_rq:/.max_vruntime.3,1.0e-06
sched_debug.cfs_rq:/.spread0.3,-9168.72184675
sched_debug.cfs_rq:/.nr_running.3,0
sched_debug.cfs_rq:/.load.3,299788
sched_debug.cfs_rq:/.runnable_weight.3,232814
sched_debug.cfs_rq:/.load_avg.3,5201
sched_debug.cfs_rq:/.runnable_load_avg.3,229
sched_debug.cfs_rq:/.util_avg.3,611
sched_debug.cfs_rq:/.util_est_enqueued.3,274
sched_debug.rt_rq:.rt_runtime.3,950.0
sched_debug.dl_rq:.dl_bw->bw.3,996147
sched_debug.cpu.nr_running.max,3.25
sched_debug.cpu.nr_running.min,0.25
sched_debug.cpu.nr_running.avg,1.1875
sched_debug.cpu.nr_running.stddev,1.3019824798818986
sched_debug.cpu.load.max,23304033.25
sched_debug.cpu.load.min,38408.75
sched_debug.cpu.load.avg,5949815.125
sched_debug.cpu.load.stddev,10055306.969896508
sched_debug.cpu.nr_switches.max,1654422.0
sched_debug.cpu.nr_switches.min,1261401.25
sched_debug.cpu.nr_switches.avg,1414826.625
sched_debug.cpu.nr_switches.stddev,148611.48754567004
sched_debug.cpu.nr_load_updates.max,299509.5
sched_debug.cpu.nr_load_updates.min,258604.5
sched_debug.cpu.nr_load_updates.avg,274046.0
sched_debug.cpu.nr_load_updates.stddev,15688.377107561786
sched_debug.cpu.nr_uninterruptible.max,16.25
sched_debug.cpu.nr_uninterruptible.min,-0.5
sched_debug.cpu.nr_uninterruptible.avg,5.8125
sched_debug.cpu.nr_uninterruptible.stddev,6.627727491268854
sched_debug.cpu.next_balance.max,4296.14851025
sched_debug.cpu.next_balance.min,4296.148485
sched_debug.cpu.next_balance.avg,4296.14849375
sched_debug.cpu.next_balance.stddev,1.0555141353845693e-05
sched_debug.cpu.curr->pid.max,15842.0
sched_debug.cpu.curr->pid.min,3515.75
sched_debug.cpu.curr->pid.avg,8893.875
sched_debug.cpu.curr->pid.stddev,5569.036009821119
sched_debug.cpu.clock.max,5025068.0425945
sched_debug.cpu.clock.min,5025059.89162275
sched_debug.cpu.clock.avg,5025064.158817313
sched_debug.cpu.clock.stddev,2.9492727802813343
sched_debug.cpu.clock_task.max,5025068.0425945
sched_debug.cpu.clock_task.min,5025059.89162275
sched_debug.cpu.clock_task.avg,5025064.158817313
sched_debug.cpu.clock_task.stddev,2.9492727802813343
sched_debug.cpu.cpu_load[0].max,458.0
sched_debug.cpu.cpu_load[0].avg,122.375
sched_debug.cpu.cpu_load[0].stddev,195.23339113692478
sched_debug.cpu.cpu_load[1].max,417.25
sched_debug.cpu.cpu_load[1].min,13.25
sched_debug.cpu.cpu_load[1].avg,156.75
sched_debug.cpu.cpu_load[1].stddev,160.85583825411422
sched_debug.cpu.cpu_load[2].max,368.5
sched_debug.cpu.cpu_load[2].min,22.25
sched_debug.cpu.cpu_load[2].avg,161.9375
sched_debug.cpu.cpu_load[2].stddev,138.91712255773302
sched_debug.cpu.cpu_load[3].max,463.75
sched_debug.cpu.cpu_load[3].min,32.75
sched_debug.cpu.cpu_load[3].avg,181.875
sched_debug.cpu.cpu_load[3].stddev,171.00641483968457
sched_debug.cpu.cpu_load[4].max,546.5
sched_debug.cpu.cpu_load[4].min,31.75
sched_debug.cpu.cpu_load[4].avg,198.125
sched_debug.cpu.cpu_load[4].stddev,215.8374894725286
sched_debug.cpu.avg_idle.max,950426.5
sched_debug.cpu.avg_idle.min,738952.75
sched_debug.cpu.avg_idle.avg,855757.125
sched_debug.cpu.avg_idle.stddev,81363.81215321807
sched_debug.cpu.max_idle_balance_cost.max,500000.0
sched_debug.cpu.max_idle_balance_cost.min,500000.0
sched_debug.cpu.max_idle_balance_cost.avg,500000.0
sched_debug.cfs_rq:/.MIN_vruntime.max,1.0e-06
sched_debug.cfs_rq:/.MIN_vruntime.min,1.0e-06
sched_debug.cfs_rq:/.MIN_vruntime.avg,1.0e-06
sched_debug.cfs_rq:/.min_vruntime.max,235511.6550025
sched_debug.cfs_rq:/.min_vruntime.min,191662.7189795
