kmsg.timestamp:last,4934.963682
softirqs.time,1570815211.4870255,1570815400.6808653
sched_debug.cfs_rq:/.max_vruntime.1,1.0e-06,1.0e-06,1.0e-06,1.0e-06
sched_debug.cfs_rq:/.spread0.1,-3888.901609,-2594.655249,-1026.201418,-22.405138
sched_debug.cfs_rq:/.nr_running.1,1,0,1,0
sched_debug.cfs_rq:/.load.1,153635,0,680333,0
sched_debug.cfs_rq:/.runnable_weight.1,37774,0,668580,0
sched_debug.cfs_rq:/.load_avg.1,781,1004,5630,3896
sched_debug.cfs_rq:/.runnable_load_avg.1,36,0,667,3
sched_debug.cfs_rq:/.util_avg.1,938,62,606,52
sched_debug.cfs_rq:/.util_est_enqueued.1,193,0,541,0
sched_debug.rt_rq:.rt_runtime.1,950.0,950.0,950.0,950.0
sched_debug.dl_rq:.dl_bw->bw.1,996147,996147,996147,996147
sched_debug.cpu.nr_running.2,2,1,1,0
sched_debug.cpu.load.2,354106,426426,309346,0
sched_debug.cpu.nr_switches.2,1141032,1227167,1296774,1380632
sched_debug.cpu.nr_load_updates.2,254310,267661,280320,293289
sched_debug.cpu.nr_uninterruptible.2,7,13,25,20
sched_debug.cpu.next_balance.2,4296.12597,4296.140989,4296.155985,4296.170998
sched_debug.cpu.curr->pid.2,14071,14071,14071,0
sched_debug.cpu.clock.2,4935042.274855,4995055.02993,5055073.614824,5115089.071092
sched_debug.cpu.clock_task.2,4935042.274855,4995055.02993,5055073.614824,5115089.071092
sched_debug.cpu.cpu_load[0].2,35,48,846,0
sched_debug.cpu.cpu_load[1].2,62,191,664,4
sched_debug.cpu.cpu_load[2].2,81,146,429,12
sched_debug.cpu.cpu_load[3].2,95,92,265,16
sched_debug.cpu.cpu_load[4].2,91,53,211,14
sched_debug.cpu.avg_idle.2,519208,1000000,972166,787588
sched_debug.cpu.max_idle_balance_cost.2,500000,500000,500000,500000
sched_debug.cfs_rq:/.MIN_vruntime.2,1.0e-06,1.0e-06,1.0e-06,1.0e-06
sched_debug.cfs_rq:/.min_vruntime.2,225086.369857,232733.347692,239342.301565,244884.600896
sched_debug.cfs_rq:/.max_vruntime.2,1.0e-06,1.0e-06,1.0e-06,1.0e-06
sched_debug.cfs_rq:/.spread0.2,32541.106393,34546.410538,35516.144117,36121.066612
sched_debug.cfs_rq:/.nr_running.2,1,1,1,0
sched_debug.cfs_rq:/.load.2,354106,706409,309346,0
sched_debug.cfs_rq:/.runnable_weight.2,79518,706409,309346,0
sched_debug.cfs_rq:/.load_avg.2,1379,307,59,82
sched_debug.cfs_rq:/.runnable_load_avg.2,76,117,55,0
sched_debug.cfs_rq:/.util_avg.2,1379,123,89,59
sched_debug.cfs_rq:/.util_est_enqueued.2,40,49,35,0
sched_debug.rt_rq:.rt_runtime.2,950.0,950.0,950.0,950.0
sched_debug.dl_rq:.dl_bw->bw.2,996147,996147,996147,996147
sched_debug.cpu.nr_running.3,1,1,0,1
sched_debug.cpu.load.3,227509,417132,0,554512
sched_debug.cpu.nr_switches.3,1514618,1613546,1711491,1778033
sched_debug.cpu.nr_load_updates.3,280093,293544,306935,317466
sched_debug.cpu.nr_uninterruptible.3,3,6,7,0
sched_debug.cpu.next_balance.3,4296.125998,4296.140988,4296.155995,4296.171058
sched_debug.cpu.curr->pid.3,14063,15513,0,17329
sched_debug.cpu.clock.3,4935043.709454,4995059.321365,5055075.703367,5115093.436192
sched_debug.cpu.clock_task.3,4935043.709454,4995059.321365,5055075.703367,5115093.436192
sched_debug.cpu.cpu_load[0].3,37,399,0,515
sched_debug.cpu.cpu_load[1].3,48,367,0,497
sched_debug.cpu.cpu_load[2].3,66,286,8,339
sched_debug.cpu.cpu_load[3].3,127,411,13,196
sched_debug.cpu.cpu_load[4].3,162,694,11,106
sched_debug.cpu.avg_idle.3,533676,871799,977763,1000000
sched_debug.cpu.max_idle_balance_cost.3,500000,500000,500000,500000
sched_debug.cfs_rq:/.MIN_vruntime.3,1.0e-06,1.0e-06,1.0e-06,1.0e-06
sched_debug.cfs_rq:/.min_vruntime.3,182966.330977,188821.953707,193536.95171,201325.639524
sched_debug.cfs_rq:/.max_vruntime.3,1.0e-06,1.0e-06,1.0e-06,1.0e-06
sched_debug.cfs_rq:/.spread0.3,-9582.803442,-9364.983447,-10289.205738,-7437.89476
sched_debug.cfs_rq:/.nr_running.3,1,1,0,1
sched_debug.cfs_rq:/.load.3,227509,417132,0,554512
sched_debug.cfs_rq:/.runnable_weight.3,38215,405644,0,487399
sched_debug.cfs_rq:/.load_avg.3,13947,6174,132,552
sched_debug.cfs_rq:/.runnable_load_avg.3,37,396,0,483
sched_debug.cfs_rq:/.util_avg.3,1023,640,101,680
sched_debug.cfs_rq:/.util_est_enqueued.3,1,553,0,543
sched_debug.rt_rq:.rt_runtime.3,950.0,950.0,950.0,950.0
sched_debug.dl_rq:.dl_bw->bw.3,996147,996147,996147,996147
sched_debug.cpu.nr_running.max,2.0,1.0,1.0,9.0
sched_debug.cpu.nr_running.min,1.0,0.0,0.0,0.0
sched_debug.cpu.nr_running.avg,1.25,0.5,0.5,2.5
sched_debug.cpu.nr_running.stddev,0.4330127018922193,0.5,0.5,3.774917217635375
sched_debug.cpu.load.max,354106.0,426426.0,680333.0,91755268.0
sched_debug.cpu.load.min,153635.0,0.0,0.0,0.0
sched_debug.cpu.load.avg,263506.25,210889.5,247419.75,23077445.0
sched_debug.cpu.load.stddev,78470.44509041286,210915.09788241808,280036.518977771,39651805.81763543
sched_debug.cpu.nr_switches.max,1514618.0,1613546.0,1711491.0,1778033.0
sched_debug.cpu.nr_switches.min,1141032.0,1227167.0,1296774.0,1380632.0
sched_debug.cpu.nr_switches.avg,1283768.75,1370862.25,1459382.25,1545293.25
sched_debug.cpu.nr_switches.stddev,143088.90141687266,149050.72425247554,155605.582665557,146700.74184777492
sched_debug.cpu.nr_load_updates.max,280093.0,293544.0,306935.0,317466.0
sched_debug.cpu.nr_load_updates.min,239573.0,251350.0,265207.0,278288.0
sched_debug.cpu.nr_load_updates.avg,254835.75,267520.5,280735.0,293092.75
sched_debug.cpu.nr_load_updates.stddev,15498.498755927943,16113.638671944957,16069.669084956293,15071.701917417953
sched_debug.cpu.nr_uninterruptible.max,7.0,13.0,25.0,20.0
sched_debug.cpu.nr_uninterruptible.min,-7.0,5.0,0.0,0.0
sched_debug.cpu.nr_uninterruptible.avg,0.0,8.5,8.25,6.5
sched_debug.cpu.nr_uninterruptible.stddev,5.385164807134504,3.2015621187164243,10.034316120194738,7.88986691902975
sched_debug.cpu.next_balance.max,4296.125998,4296.14099,4296.155995,4296.171058
sched_debug.cpu.next_balance.min,4296.12597,4296.140988,4296.155985,4296.170997
sched_debug.cpu.next_balance.avg,4296.12598125,4296.140989,4296.15599175,4296.171013
sched_debug.cpu.next_balance.stddev,1.15623311397623e-05,7.071066990126137e-07,3.960744742067477e-06,2.5990382834540382e-05
sched_debug.cpu.curr->pid.max,14102.0,15513.0,16424.0,17329.0
sched_debug.cpu.curr->pid.min,14063.0,0.0,0.0,0.0
sched_debug.cpu.curr->pid.avg,14084.0,7396.0,7623.75,6471.75
sched_debug.cpu.curr->pid.stddev,17.24818831066034,7413.550869859868,7669.005162829139,7176.339818284806
sched_debug.cpu.clock.max,4935043.709454,4995059.321365,5055075.703367,5115093.436192
sched_debug.cpu.clock.min,4935040.7381,4995050.967743,5055066.929337,5115080.931311
sched_debug.cpu.clock.avg,4935042.133332999,4995054.83410375,5055071.99445825,5115087.6733742505
sched_debug.cpu.clock.stddev,1.0670999503729623,2.9912225542599473,3.2444883843031347,4.494280232189293
sched_debug.cpu.clock_task.max,4935043.709454,4995059.321365,5055075.703367,5115093.436192
sched_debug.cpu.clock_task.min,4935040.7381,4995050.967743,5055066.929337,5115080.931311
sched_debug.cpu.clock_task.avg,4935042.133332999,4995054.83410375,5055071.99445825,5115087.6733742505
sched_debug.cpu.clock_task.stddev,1.0670999503729623,2.9912225542599473,3.2444883843031347,4.494280232189293
